,高等教育深耕計畫核定經費 (一般大學),,單位：元,
類別,學校代碼,學校名稱,核定經費,
技專校院,1060,南開科技大學,"32,065,303",
技專校院,1061,中華科技大學,"27,158,934",
技專校院,1062,僑光科技大學,"26,340,200",
技專校院,1063,育達科技大學,"10,098,530",
技專校院,1064,美和科技大學,"34,478,000",
技專校院,1065,吳鳳科技大學,"20,487,000",
技專校院,1066,環球科技大學,"16,450,000",
技專校院,1068,中州科技大學,"9,916,400",
技專校院,1069,修平科技大學,"39,572,504",
技專校院,1070,長庚科技大學,"59,300,000",
技專校院,1071,臺北城市科技大學,"28,900,000",
技專校院,1072,大華科技大學,"7,248,000",
技專校院,1073,醒吾科技大學,"65,770,461",
技專校院,1074,南榮科技大學,"5,660,000",
技專校院,1075,文藻外語大學,"58,593,000",
技專校院,1076,華夏科技大學,"19,262,968",
技專校院,1077,慈濟科技大學,"45,433,718",
技專校院,1078,致理科技大學,"65,712,000",
技專校院,1148,大漢技術學院,"2,777,000",
技專校院,1159,和春技術學院,"4,000,000",
技專校院,1166,亞東技術學院,"18,182,000",
技專校院,1168,南亞技術學院,"10,190,000",
技專校院,1179,宏國德霖科技大學,"17,126,081",
技專校院,1182,蘭陽技術學院,"3,058,069",
技專校院,1183,黎明技術學院,"15,095,090",
技專校院,1184,東方設計大學,"10,900,000",
技專校院,1185,經國管理暨健康學院,"13,075,000",
技專校院,1187,崇右影藝科技大學,"8,425,000",
技專校院,1188,大同技術學院,"7,000,000",
技專校院,1189,亞太創意技術學院,"1,606,772",
技專校院,1192,臺灣觀光學院, -   ,
技專校院,1197,台北海洋科技大學,"31,881,095",
技專校院,1282,馬偕醫護管理專科學校,"16,100,000",
技專校院,1283,仁德醫護管理專科學校,"19,905,011",
技專校院,1284,樹人醫護管理專科學校,"20,150,000",
技專校院,1285,慈惠醫護管理專科學校,"15,350,000",
技專校院,1286,耕莘健康管理專科學校,"23,336,340",
技專校院,1287,敏惠醫護管理專科學校,"7,737,596",
技專校院,1288,高美醫護管理專科學校, -   ,
技專校院,1289,育英醫護管理專科學校,"10,690,000",
技專校院,1290,崇仁醫護管理專科學校,"11,320,000",
技專校院,1291,聖母醫護管理專科學校,"8,197,342",
技專校院,1292,新生醫護管理專科學校,"20,088,500",
技專校院,"註：
1.補助經費包括：第一部分、附冊(USR、弱勢協助)、第二部分。
2.臺灣觀光學院及高美醫護管理專科學校未提出申請。
3.本表依統計處學校代碼排序。",,,
,,,,
,大學社會責任補助計畫(USR)-一般大學,,,
類別,學校代碼,學校名稱,USR計畫名稱,
一般大學,1,國立政治大學,B類：「興隆安康‧共好文山」社區共善計畫,
一般大學,2,國立清華大學,A類：生物多樣性教育網路的建構,
一般大學,,,A類：科學園區周邊基礎產業競爭力助昇計畫 — 從牛埔高溫產業老師傅的傳承出發,
一般大學,3,國立臺灣大學,B類：大學PLUS：邁向食鄉居城的社會新責任平台,
一般大學,4,國立臺灣師範大學,A類：減塑[心]家園-以大學生為實踐起點的生活品質提升計畫,
一般大學,,,B類：建構高齡者長健全方位系統—營造高齡友善社區,
一般大學,,,B類：深耕偏鄉弱勢教育,
一般大學,5,國立成功大學,B類：以微生物科技導入台南市大溪北地區的智慧新農業,
一般大學,,,B類：調適與連結—南部濱海地區環境變遷下的行動方案,
一般大學,,,C類：永續城鄉營造 – 社會創新型 USR 資源中心建構計畫,
一般大學,6,國立中興大學,B類：浪浪樂活實踐計劃 - 流浪動物減量與福祉實踐,
一般大學,7,國立交通大學,B類：智慧物聯人才增能計畫,
一般大學,,,C類：永續塹城在地創生計畫,
一般大學,8,國立中央大學,A類：雙連陂社區文化保存與提升居民健康,
一般大學,,,B類：部落書香學堂：復興區泰雅閱讀增能計畫,
一般大學,,,C類：桃海三生-形塑桃園海岸環境與人文發展永續共生,
一般大學,9,國立中山大學,B類：城市是一座故事館：大學與博物館的參與式協作Participatory University-Museum Partnerships(PUMP),
一般大學,,,C類：高雄舊港新灣社區的創新、創業與創生,
一般大學,12,國立臺灣海洋大學,B類：打造國際旅遊島－社寮文化再現與地方產業佈建,
一般大學,,,C類：三漁興旺-國際藍色經濟示範區,
一般大學,13,國立中正大學,A類：重構「大學路」：認識、認同與共同行動,
一般大學,,,B類：植種‧結晶‧昇華—雲嘉地區中學科學教育揚升計畫,
一般大學,,,C類：竹光發熱黑金計畫-諸羅竹業展風華,
一般大學,14,國立高雄師範大學,A類：原民產業藝飛揚-高屏地區原住民部落產業創新 加值計畫,
一般大學,15,國立彰化師範大學,A類：社頭織襪、永續經營,
一般大學,,,A類：風光水土、芳苑再造,
一般大學,16,國立陽明大學,B類：培力社區發展在地安老整合服務計畫,
一般大學,17,國立臺北大學,A類：國立臺北大學在地社會實踐NPO育成與永續計畫：邁向服務、協力及組織化,
一般大學,18,國立嘉義大學,B類：嘉義平原區優質友善栽培產業茁壯計畫,
一般大學,19,國立高雄大學,B類：大樹河谷莊園新鄉村經濟行動計畫,
一般大學,20,國立東華大學,A類：藝術來逗陣～打造花蓮市藝文樂活聚落,
一般大學,,,B類：比鄰共好 Chihak生活圈─在地韌性之永續培力行動計畫,
一般大學,21,國立暨南國際大學,A類：翻轉水沙連偏鄉弱勢學習路徑：從「學習自信增能」到「學力心智躍升」計畫,
一般大學,,,B類：水沙連產學攜手共學-地方產業與鄉村旅遊鏈結發展計畫,
一般大學,,,B類：建構水沙連「無老。長照」協力治理網絡-教育、共助與永續,
一般大學,,,C類：營造綠色水沙連-智能×減污×循環,
一般大學,28,國立臺北藝術大學,A類：Hi-Five國際學習聯盟─藝術做為跨文化理解與溝通的媒介,
一般大學,30,國立臺東大學,A類：臺東地區樂齡健康促進─身心關懷×公共參與×智慧科技,
一般大學,,,A類：課程中的在地關懷： 聚焦於低成就的預防及補救,
一般大學,,,B類：攜手共創部落新「旅」力-山林部落見學旅遊模式建構,
一般大學,31,國立宜蘭大學,A類：打造一條龍模式的蘭陽綠能產業鏈之人才培育計畫,
一般大學,,,B類：宜蘭地方博物館事業總體營造協力計畫,
一般大學,35,國立臺南藝術大學,A類：翻轉幸福-嘉南地區單親弱勢及新住民族群扶植計畫,
一般大學,,,A類：藝術陪伴「樂齡．追夢．Do Re Mi」──建構音樂健康城圓夢計畫,
一般大學,36,國立臺南大學,A類：守護溪頭海尾-社會與生態環境共生的實踐,
一般大學,,,A類：為偏鄉而教─打造七股偏鄉教育補給站,
一般大學,39,國立臺中教育大學,A類：人文共享?城市想像──中教大「臺中學」之大學社會責任實踐計畫,
一般大學,,,A類：在地數位小種子手牽手培育計畫,
一般大學,,,A類：社企加值舊城區再生-產學協作創新育成先期計畫,
一般大學,49,國立臺灣體育運動大學,A類：連結產官學民網絡，打造運動首都—台中(II)：舉辦東亞青運的兒童及青少年運動天堂,
一般大學,52,國立屏東大學,B類：搖滾社會力_在地關懷為導向的社會企業與青年實踐計畫,
一般大學,,,B類：讓生命不同凡「想」-屏東身心障礙成人服務機構支持網絡,
一般大學,1001,東海大學,A類：大肚山兒少青跨世代全人培力創能發展計畫,
一般大學,,,B類：誠食夥伴‧好氣社區,
一般大學,,,C類：青銀共創、樂齡樂活–台中市西屯區優質高齡支持系統之建立與協作,
一般大學,1003,東吳大學,A類：城市之緣.社區之窗-士北地方共生培養皿,
一般大學,,,A類：留住歷史的記憶-士林眷村文化保存與展望士林,
一般大學,,,A類：都會五色鳥計畫 - 樂齡韌性與樂齡自主性培力,
一般大學,1004,中原大學,B類：大梨救小校 農創社企新生命 - 卓蘭「雙連梨」農產興業計畫,
一般大學,,,B類：社會設計的創意服務--啟動霄裡文化綠廊(二),
一般大學,,,B類：團結經濟、文化夥伴-桃園大海社區文化創生計畫,
一般大學,1005,淡江大學,A類：異源復「史」、萬「巷」更新-淡水老街再生計畫(II),
一般大學,,,B類：淡水好生活-永續生活圈營造計畫,
一般大學,1006,中國文化大學,A類：光明頂：陽明山公民電廠綠能新願景,
一般大學,1007,逢甲大學,A類：循環經濟模式之社會關懷服務,
一般大學,,,B類：中台灣弱勢與偏鄉行動服務支持系統,
一般大學,,,B類：導入分散式生質能源系統促進地區之永續循環與社會創生,
一般大學,1008,靜宜大學,B類：建構幸福銀髮生態圈,
