,高等教育深耕計畫核定經費 (一般大學),,單位：元,,
類別,學校代碼,學校名稱,核定經費,,
技專校院,1045,嶺東科技大學,"55,230,996",,
技專校院,1046,中國科技大學,"74,100,000",,
技專校院,1047,中臺科技大學,"52,489,000",,
技專校院,1051,台南應用科技大學,"42,471,000",,
技專校院,1052,遠東科技大學,"78,355,000",,
技專校院,1053,元培醫事科技大學,"31,861,532",,
技專校院,1054,景文科技大學,"50,644,504",,
技專校院,1055,中華醫事科技大學,"52,641,000",,
技專校院,1056,東南科技大學,"22,993,000",,
技專校院,1057,德明財經科技大學,"44,896,000",,
技專校院,1060,南開科技大學,"35,648,036",,
技專校院,1061,中華科技大學,"29,105,000",,
技專校院,1062,僑光科技大學,"26,697,000",,
技專校院,1063,育達科技大學,"11,628,000",,
技專校院,1064,美和科技大學,"39,719,000",,
技專校院,1065,吳鳳科技大學,"34,458,000",,
技專校院,1066,環球科技大學,"4,934,000",,
技專校院,1068,中州科技大學,"7,309,000",,
技專校院,1069,修平科技大學,"51,879,000",,
技專校院,1070,長庚科技大學,"60,353,000",,
技專校院,1071,臺北城市科技大學,"27,550,000",,
技專校院,1072,敏實科技大學,"6,972,600",,
技專校院,1073,醒吾科技大學,"68,682,000",,
技專校院,1075,文藻外語大學,"65,210,000",,
技專校院,1076,華夏科技大學,"30,075,000",,
技專校院,1077,慈濟科技大學,"48,233,223",,
技專校院,1078,致理科技大學,"79,260,000",,
技專校院,1080,宏國德霖科技大學,"22,987,000",,
技專校院,1081,東方設計大學,"11,070,000",,
技專校院,1082,崇右影藝科技大學,"12,398,000",,
技專校院,1083,台北海洋科技大學,"24,272,000",,
技專校院,1148,大漢技術學院,"9,896,550",,
技專校院,1166,亞東技術學院,"27,743,000",,
技專校院,1168,南亞技術學院,"13,715,000",,
技專校院,1182,蘭陽技術學院,"4,898,934",,
技專校院,1183,黎明技術學院,"19,397,000",,
技專校院,1185,經國管理暨健康學院,"10,720,000",,
技專校院,1188,大同技術學院,"4,747,000",,
技專校院,1192,臺灣觀光學院,"300,000",,
技專校院,1282,馬偕醫護管理專科學校,"24,390,000",,
技專校院,1283,仁德醫護管理專科學校,"26,189,363",,
技專校院,1284,樹人醫護管理專科學校,"30,260,000",,
技專校院,1285,慈惠醫護管理專科學校,"22,499,639",,
技專校院,1286,耕莘健康管理專科學校,"34,309,000",,
