高等教育深耕計畫核定經費 (一般大學),,,,
類別,學校代碼,學校名稱,核定經費,
,,,單位：元,
技專校院,1046,中國科技大學,73590000,
技專校院,1047,中臺科技大學,56503000,
技專校院,1051,台南應用科技大學,43023000,
技專校院,1052,遠東科技大學,66229000,
技專校院,1053,元培醫事科技大學,39243000,
技專校院,1054,景文科技大學,58411000,
技專校院,1055,中華醫事科技大學,54675000,
技專校院,1056,東南科技大學,25553000,
技專校院,1057,德明財經科技大學,54490000,
技專校院,1060,南開科技大學,34499000,
技專校院,1061,中華科技大學,34005000,
技專校院,1062,僑光科技大學,37334000,
技專校院,1063,育達科技大學,19240000,
技專校院,1064,美和科技大學,41718000,
技專校院,1065,吳鳳科技大學,28633000,
技專校院,1066,環球科技大學,5240000,
技專校院,1068,中州科技大學,412500,
技專校院,1069,修平科技大學,49545000,
技專校院,1070,長庚科技大學,63631000,
技專校院,1071,臺北城市科技大學,32869000,
技專校院,1072,敏實科技大學,10780000,
技專校院,1073,醒吾科技大學,73818000,
技專校院,1075,文藻外語大學,64316000,
技專校院,1076,華夏科技大學,25605000,
技專校院,1077,慈濟科技大學,52205000,
技專校院,1078,致理科技大學,88388100,
技專校院,1080,宏國德霖科技大學,26560000,
技專校院,1081,東方設計大學,4509000,
技專校院,1082,崇右影藝科技大學,16770000,
技專校院,1083,台北海洋科技大學,34095000,
技專校院,1084,亞東科技大學,33970000,
技專校院,1148,大漢技術學院,10752550,
技專校院,1168,南亞技術學院,14316000,
技專校院,1183,黎明技術學院,28610000,
技專校院,1185,經國管理暨健康學院,21482000,
技專校院,1188,大同技術學院,2110000,
技專校院,1282,馬偕醫護管理專科學校,31064000,
技專校院,1283,仁德醫護管理專科學校,25441230,
技專校院,1284,樹人醫護管理專科學校,29115000,
技專校院,1285,慈惠醫護管理專科學校,19538000,
技專校院,1286,耕莘健康管理專科學校,36985000,
技專校院,1287,敏惠醫護管理專科學校,18038786,
技專校院,1289,育英醫護管理專科學校,11046000,
技專校院,1291,聖母醫護管理專科學校,12843000,
技專校院,1292,新生醫護管理專科學校,23361882,
技專校院,1293,崇仁醫護管理專科學校,18986000,
技專校院,"備註：
1.金額包含第一部分(主冊計畫、主冊專章、附冊、附錄一、附錄二)、第二部分。
2.中州科技大學112年7月31日停辦。
3.東方設計大學、高苑科技大學、環球科技大學、大同技術學院為專案輔導學校。",,,
,,,,
大學社會責任補助計畫(USR)-一般大學,,,,
類別,序號,學校名稱,計畫類型,計畫名稱
一般大學,1,大同大學,大學特色類萌芽型,同興協力—應用公民設計科學於社區學習教學與場域實踐
一般大學,2,大同大學,大學特色類深耕型,永續共榮在大同：優質教育與跨域實踐之差異群體服務基地加值計畫
一般大學,3,中國文化大學,大學特色類萌芽型,北海岸社區韌性：在地永續知識與經濟創生
一般大學,4,中國文化大學,大學特色類深耕型,共創光明頂：陽明山社區創生新願景
一般大學,5,東吳大學,大學特色類萌芽型,北投心韌齡生活圈
一般大學,6,東吳大學,大學特色類萌芽型,老士林新共生-建立跨世代社區支持網
一般大學,7,東吳大學,大學特色類深耕型,文化永續‧城市創生：士林學之建構
一般大學,8,馬偕醫學院,大學特色類萌芽型,給三芝全面的愛:社區老人多層面健康促進計畫
一般大學,9,馬偕醫學院,大學特色類萌芽型,脫穎而出成為茭佼者
一般大學,10,國立政治大學,大學特色類萌芽型,以鄉村地區整體規劃落實里山經濟
一般大學,11,國立政治大學,大學特色類萌芽型,雜貨店2.0老店新開： 順路經濟與社會資源整合平台計畫
一般大學,12,國立陽明交通大學,大學特色類深耕型,部落之星：智慧偏鄉健康培力計畫
一般大學,13,國立陽明交通大學,大學特色類深耕型,青銀攜手‧科技協力‧賦能社區‧守護獨老行動計畫
一般大學,14,國立臺北大學,大學特色類萌芽型,推動三鶯地區永續低碳經濟生活圈
一般大學,15,國立臺北大學,大學特色類萌芽型,環抱海山深耕三峽：北大文化城的創生、活化與擴展
一般大學,16,國立臺北大學,大學特色類深耕型,前瞻超高齡的大學3E行動計畫：Establishment、Engagement、and Empowerment
一般大學,17,國立臺北藝術大學,大學特色類萌芽型,漁村轉型、文化永續： 依海而生在地知識的轉譯與活用之共學共創
一般大學,18,國立臺灣大學,大學特色類萌芽型,臺大?山林?學院
一般大學,19,國立臺灣大學,大學特色類萌芽型,文化｜健康：文化安全健康促進推動整合計畫
一般大學,20,國立臺灣大學,大學特色類萌芽型,感測公民培力、環境舒適度健檢及在地社區氣候行動：一個科學社會溝通及循證治理過程的探索
一般大學,21,國立臺灣大學,大學特色類深耕型,大學PLUS：臺灣鄉創俱樂部
一般大學,22,國立臺灣大學,大學特色類深耕型,攜手?雲林-特色農業產區 深耕產業鏈結
一般大學,23,國立臺灣師範大學,大學特色類萌芽型,全球在地取向的金門地方創生與青創培力計畫
一般大學,24,國立臺灣師範大學,大學特色類萌芽型,臺灣心連新-運用前瞻科技提昇新住民及其子女華語文能力及雙語師資培育計畫
一般大學,25,國立臺灣師範大學,大學特色類深耕型,深耕偏鄉教育：深化、廣化、國際化、永續化
一般大學,26,國立臺灣師範大學,大學特色類深耕型,打造高齡者數位包容智慧長健學苑計畫
一般大學,27,國立臺灣海洋大學,大學特色類萌芽型,雲林四口，里海漁鄉-低碳×創生×永續×關懷計畫
一般大學,28,國立臺灣海洋大學,大學特色類深耕型,貢寮美境山海川區域發展深耕計畫
一般大學,29,國立臺灣海洋大學,大學特色類深耕型,智慧樂活水產村
一般大學,30,國立臺灣海洋大學,大學特色類深耕型,打造國際旅遊島-智慧共享經濟與永續實踐
一般大學,31,國立臺灣海洋大學,永續發展類國際合作型,三漁興旺-國際藍色經濟示範區
一般大學,32,國立臺灣藝術大學,大學特色類萌芽型,文化河流 ‧ 文資串流 —淡水河水系流域文化資產保存計畫
一般大學,33,淡江大學,大學特色類萌芽型,守滬樂齡宜然自得：建置以長者為關懷的「為愛AI陪伴」手機APP
一般大學,34,淡江大學,大學特色類萌芽型,為樂齡而行：跨代原力、青銀共創
一般大學,35,淡江大學,大學特色類深耕型,農情食課：建構北海岸永續食農教育基地/第二期計畫主案：「農」情「食課」-無毒、有機印象淡水
一般大學,36,淡江大學,大學特色類深耕型,淡北風情e線牽、海陸旅遊全體驗/第二期計畫主案：淡蘭海陸輕旅遊、智慧互動趴趴走
一般大學,37,淡江大學,永續發展類特色永續型,淡水好生活：山海河賦創設計行動/第二期計畫主案：淡水好生活–學習型城鄉建構計畫
一般大學,38,華梵大學,大學特色類萌芽型,乘龍風蘊耀大崙，古道帶動旅創新生命：?淡蘭古道為主軸的地方創生實踐
一般大學,39,華梵大學,大學特色類萌芽型,石碇之音-百年石頭屋藝術造鎮參與規劃工作站、工藝駐村與行旅藝文體驗計畫
一般大學,40,華梵大學,大學特色類萌芽型,無人機山區防災救災系統-石碇模式
一般大學,41,實踐大學,大學特色類萌芽型,漸凍症病友科技生活設計
一般大學,42,實踐大學,大學特色類萌芽型,內門文創生活之活化：文化為心、創意為魂、科技為魄
一般大學,43,實踐大學,大學特色類萌芽型,點亮城市裡的偏鄉─光點三創實踐計畫
一般大學,44,實踐大學,大學特色類萌芽型,北投學-在北投向北投學
一般大學,45,實踐大學,大學特色類萌芽型,囊螢東高【與南島語族相遇】創課微旅：螢光發掘、囊袋維持陪伴計畫內山篇
一般大學,46,臺北市立大學,大學特色類萌芽型,「你我共好」的善循環－社區永續的倡導、關懷與場域經營
一般大學,47,臺北市立大學,大學特色類萌芽型,臺北城西文化地景的沉浸式再現：人文藝術結合城市行銷培力的永續實踐
一般大學,48,臺北醫學大學,大學特色類萌芽型,以街區經濟為根基之中草藥文化復振與創新
一般大學,49,臺北醫學大學,大學特色類萌芽型,智齡質感生活聚落示範計畫2.0：邁向淨零綠生活
一般大學,50,臺北醫學大學,大學特色類萌芽型,永續綠能飲食救地球
一般大學,51,臺北醫學大學,大學特色類深耕型,都會長照青銀創生永續：建構高齡健康失智友善101生態圈
一般大學,52,輔仁大學,大學特色類萌芽型,復元力：惜食分享　共生新莊
一般大學,53,輔仁大學,大學特色類萌芽型,輔仁好學·好（ㄏㄠˋ）學新莊計畫
一般大學,54,銘傳大學,大學特色類萌芽型,龜旅價值共創-從文化走讀到土地連結
一般大學,55,中原大學,大學特色類萌芽型,永續社區環保公益博物館串聯計劃
一般大學,56,中原大學,大學特色類深耕型,團結經濟、文化夥伴－桃園大海社區文化創生計畫III－航空城計畫進行式的人文延續
一般大學,57,中原大學,永續發展類國際合作型,流動與鏈結：桃園埤圳文化與國際多元鏈結
一般大學,58,中華大學,大學特色類萌芽型,馥活茶花智慧創生計畫
一般大學,59,中華大學,大學特色類萌芽型,驛動新埔-種希望樹、點幸福燈之綠色共生
一般大學,60,元智大學,大學特色類萌芽型,綠色循環經濟-創新創業實踐場
一般大學,61,元智大學,大學特色類萌芽型,艾妲資訊培力
一般大學,62,元智大學,大學特色類深耕型,寰宇文化領航
一般大學,63,玄奘大學,大學特色類萌芽型,泰雅爾·巴來─深度部落休閒產業推動計畫
一般大學,64,玄奘大學,大學特色類萌芽型,新埔旱坑柿家創新永續計畫
一般大學,65,佛光大學,大學特色類萌芽型,建構宜蘭茶產業永續發展的跨領域人才共培機制
一般大學,66,長庚大學,大學特色類萌芽型,『職能、共融、永續』-身心障礙者工作培力實踐計畫  「第二期HUB計畫主案：職人創造，能力營造-共建身心障礙者的就業環境與社區共融計畫」
一般大學,67,長庚大學,大學特色類萌芽型,早期療育及健康發展促進創新實踐計劃
一般大學,68,長庚大學,大學特色類深耕型,人口老化社區健康照護體系建構-在地與偏鄉
一般大學,69,國立中央大學,大學特色類萌芽型,身生不息─桃園身障包容科技與包容創業教育
一般大學,70,國立中央大學,大學特色類深耕型,mbhoyaw「復興」─以永續為關鍵詞的跨域共作
一般大學,71,國立中央大學,永續發展類國際合作型,海好友你─桃海三生開闊國際夥伴永續力
一般大學,72,國立東華大學,大學特色類深耕型,智慧淨洄瀾合作永共融
一般大學,73,國立東華大學,永續發展類特色永續型,比鄰共好：柔韌永續之共好生活實踐
一般大學,74,國立清華大學,大學特色類萌芽型,TNUNAN歌劇音樂會：以文化回應式教學推動泰雅醫療人才培育計畫
一般大學,75,國立清華大學,大學特色類萌芽型,永續發展教育的跨領域韌性整合與社會實踐: 以南寮沿海社區與自然谷為里山海實踐場域
一般大學,76,國立清華大學,大學特色類萌芽型,〝S+M+ART〞跨學科與創客藝術在地智慧活氧計畫
一般大學,77,國立清華大學,永續發展類特色永續型,REAL+：新竹區域產業與文化支持系統
一般大學,78,國立聯合大學,大學特色類萌芽型,聯合IN苗栗加速食農教育→永續環境
一般大學,79,國立聯合大學,大學特色類萌芽型,苑裡藺草編織工藝的互惠展銷體驗設計
一般大學,80,國立聯合大學,大學特色類萌芽型,共下生活學習實驗室：打哪叭共創聚落計畫
一般大學,81,慈濟大學,大學特色類萌芽型,社區健康領航員-跨族群健康upup計畫
一般大學,82,慈濟大學,大學特色類深耕型,里山團結碳經濟-永續消費與生產的共學實踐
一般大學,83,中山醫學大學,大學特色類萌芽型,跨域培力，共創樂活
一般大學,84,中國醫藥大學,大學特色類萌芽型,中西醫整合優質照護，守護兒童與青少年健康計劃
一般大學,85,中國醫藥大學,大學特色類萌芽型,中藥養生-西藥精準:食品藥物安全鏈結之社會實踐
一般大學,86,亞洲大學,大學特色類萌芽型,學習不孤單：偏鄉AI雙語學伴培育計畫
一般大學,87,亞洲大學,大學特色類萌芽型,食品安全與健康的守護者
一般大學,88,亞洲大學,大學特色類深耕型,永續高齡失智友善包容社區：數位創新x護智處方x社會共融
一般大學,89,東海大學,大學特色類萌芽型,一所大學守護一條河的四校聯盟行動
一般大學,90,東海大學,大學特色類萌芽型,大肚山地方教育創生2.0
一般大學,91,東海大學,永續發展類特色永續型,臺中市西屯區開放養生村的典範建構與擴散
一般大學,92,國立中興大學,永續發展類國際合作型,浪愛無國界：流浪動物減量與福祉實踐
一般大學,93,國立彰化師範大學,大學特色類萌芽型,彰化風光 風光彰化
一般大學,94,國立彰化師範大學,大學特色類萌芽型,生態家園?城鄉永續：彰化生態藝術計畫
一般大學,95,國立彰化師範大學,大學特色類萌芽型,美「蜊」芳苑、寶「蜆」大城：氣候變遷下彰化雙城之產業與環境永續計畫
