Date,open,open_1,close_1,high_1,low_1,volume_1,avg_price_5,avg_price_30,avg_price_365,ration_avg_price_5_30,ratio_avg_price_5_365,ratio_avg_price_30_365,avg_volume_5,avg_volume_30,avg_volume_365,ratio_avg_volume_5_30,ration_avg_volume_5_365,ratio_avg_volume_30_365,std_price_5,std_price_30,std_price_365,ratio_std_price_5_30,ratio_std_price_5_365,ratio_std_price_30_365,return_1,return_5,return_30,return_365,moving_avg_5,moving_avg_30,moving_avg_365,close
2018-12-27,21857.73,22629.06,23138.82,23138.89,22267.42,407940000.0,23112.228,23916.56619047619,26315.586825396826,0.9663689936059263,0.8782714272476224,0.908836513856291,355818000.0,332710952.38095236,276257182.53968257,1.0694508174548765,1.2879954712087496,1.2043522246997527,267.28225253497504,591.4290838508285,1108.0481252425932,0.4519261223927052,0.24121899261050322,0.5337575781930434,0.0033136187040376654,-0.012560832597908269,-0.058630689390869614,-0.19222866191474608,-0.0038243256565031318,-0.003795187327244921,-0.0008035434089603263,22878.45
2018-12-25,22317.28,21857.73,22878.45,22878.92,21712.53,433080000.0,23150.674,23838.005714285715,26292.797380952383,0.971166559714607,0.8804948999748247,0.9066363448856521,357586000.0,336801904.7619048,277356825.3968254,1.0617101475503474,1.2892633865721081,1.214327083099646,194.63945689445848,615.2123759284906,1119.4348593310565,0.31637766811941126,0.17387296390856513,0.5495740737394266,-0.011252518494892954,0.008473425718343539,-0.06726007839133864,-0.20065202982804115,-0.002327055661443304,-0.0028095071051405874,-0.000815925120319315,21792.2
2018-12-22,22871.74,22317.28,21792.2,22339.87,21792.2,308420000.0,22839.866,23697.76761904762,26266.117817460316,0.9637982094837465,0.8695562153009637,0.9022181269321272,354956000.0,333541428.5714286,278238849.2063492,1.0642036328749052,1.275724080273044,1.1987593735483917,607.3992831574416,725.7235980928994,1146.0525603128324,0.8369567763175986,0.52999251883495,0.6332376220989394,-0.047479178003754625,-0.06656489438984611,-0.11905146904257555,-0.23577569352754382,0.001797509132261112,-0.0032451048044040195,-0.0008572712386401036,22445.37
2018-12-21,23224.12,22871.74,22445.37,23254.59,22396.34,900510000.0,22663.448,23597.39285714286,26241.887023809526,0.9604216930744467,0.863636368049189,0.8992262193542983,477292000.0,361176666.6666667,280925277.7777778,1.321491790721069,1.6989998328934839,1.2856680948176216,556.3268347564914,746.9466068209158,1161.980042066655,0.744801341456356,0.4787748624038576,0.6428222342721344,0.029972650764952518,-0.03781337530961366,-0.08584895516844222,-0.21386454596303597,-0.013517012878125267,-0.005911731485048859,-0.0010309924708026053,22859.6
2018-12-20,23693.33,23224.12,22859.6,23282.2,22644.31,576700000.0,22622.888,23515.67761904762,26219.6826984127,0.9620342805548387,0.8628208151950502,0.8968711745879069,525330000.0,373467142.85714287,280817817.46031743,1.4066297666270124,1.8707146318243668,1.3299268053385458,526.5656485854125,728.2090923278115,1172.9299917893238,0.7230967782923164,0.4489318648780803,0.6208461693582553,0.018455031037581452,-0.008793534064104469,-0.06982611222015968,-0.19664285018954436,-0.007361600287534515,-0.004130339864904025,-0.0009170743288697642,23323.66
2018-12-19,23769.13,23693.33,23323.66,24057.34,23162.64,503550000.0,22659.856,23464.21,26199.629920634918,0.9657199624449321,0.864892216746658,0.895593184754091,544452000.0,381327619.04761904,281774087.3015873,1.427780136565483,1.9322287766556205,1.353309747888485,576.0095336278526,699.8944029136431,1179.0818319704788,0.8229949135611588,0.48852379708474253,0.593592729474918,0.02030044270240955,0.00798830709604034,-0.04428777011433965,-0.17807756715307063,-0.0013980791984151892,-0.0032949330853561465,-0.0008304362992139498,23675.64
2018-12-18,23986.83,23769.13,23675.64,23927.77,23516.02,408070000.0,22819.293999999998,23415.128571428573,26181.52023809524,0.974553435843371,0.8715801753481428,0.8943380047640836,539450000.0,382999047.61904764,282243055.5555556,1.4084891420841528,1.9112959181162805,1.3569830686008133,738.9315512821029,642.1933373468617,1182.6710807381246,1.15063721205035,0.624798867002754,0.5430024863261712,0.015091113487334301,0.034844580817319296,-0.04171842461553403,-0.1616061032717548,0.001999285601259188,-0.0019966352374692895,-0.00073898323213486,23592.98
2018-12-15,24408.04,23986.83,23592.98,24088.08,23456.88,466740000.0,23179.45,23378.122857142855,26162.971904761904,0.9915017617814361,0.8859639525806747,0.8935576180811409,571114000.0,391482380.95238096,282957222.2222222,1.4588498174825115,2.0183757654769177,1.3835391013448946,519.4192839125001,605.770107847251,1186.4782352578486,0.8574528144981943,0.4377823953927132,0.5105615002837396,-0.0034913522929052756,0.08263415350446485,-0.03188825651105244,-0.16535725555733227,0.007268011997704639,-0.0018670322237537337,-0.0006598445934901293,24100.51
2018-12-14,24575.86,24408.04,24100.51,24431.14,24033.79,416940000.0,23510.478,23373.044285714284,26146.56166666667,1.0058800091509565,0.8991804849802749,0.8939242024893758,474400000.0,396916190.47619045,283473769.84126985,1.1952145349144117,1.673523445451897,1.4001866581816098,458.46645550157,598.8800982463481,1186.2916849321005,0.7655396411469676,0.3864702596544046,0.5048337654669021,0.021511907355492983,0.0737408204899273,-0.0044057212824635955,-0.14645828411996226,0.01606557713987451,-0.00138519845520709,-0.0006776169331287285,24597.38
2018-12-13,24509.09,24575.86,24597.38,24740.96,24473.29,299970000.0,23858.034000000003,23398.367619047618,26132.521984126983,1.0196452328827499,0.9129633188289858,0.8953734979448175,419054000.0,397316190.47619045,283669444.4444444,1.0547116126774405,1.4772616797720353,1.400630904235452,498.6240779185997,639.494297119912,1183.5933057593204,0.7797162229033958,0.4212799071203882,0.5402990148796524,0.020616576163741043,0.07601970288194031,0.02209752596965214,-0.12574914573750204,0.0143734284579826,-4.243800882070389e-05,-0.0005878624170627105,24527.27
